quaternions_10	quaternions_11	quaternions_12	quaternions_13	angle_10	angle_11	angle_12	rotacc_1	speed	id	pos_x	pos_y	normalized_x	normalized_y	orientation_x	orientation_y	speed1	tracking	Pharusbin	Gyroid	comp_index	SOUND1	SOUND2	SOUND3	SOUND4	SOUND5	SOUND6	SOUND7	SOUND8
0.80906737	0.42258376	0.014869344	0.40823838	0.12581682	0.4479586	0.6242986	0.014422768	0.014422762	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.79296875	0	0	0	0	0	0	0
0.8090549	0.4229433	0.015007294	0.40785766	0.12568024	0.44802925	0.6244754	0.014462084	0.014462083	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.79296875	0	0	0	0	0	0	0
0.80911726	0.42283386	0.014958922	0.4078422	0.12567526	0.44803408	0.62443554	0.014462429	0.014462428	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.79296875	0	0	0	0	0	0	0
0.8091931	0.42269036	0.014905302	0.40783584	0.1256748	0.4480411	0.6243827	0.014463241	0.01446324	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
0.80928475	0.42253974	0.014835439	0.4078074	0.12566504	0.44804835	0.6243262	0.014463883	0.014463881	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
0.8093799	0.4223689	0.014763696	0.40779543	0.1256622	0.44805595	0.62426126	0.014458323	0.014458323	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
0.809483	0.42218223	0.0147035085	0.407785	0.12566184	0.4480684	0.6241927	0.014448213	0.014448213	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
0.80958444	0.4219788	0.014644244	0.4077928	0.12566862	0.44808012	0.62411964	0.014447519	0.014447518	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
0.80968803	0.42177337	0.0145682255	0.40779722	0.12567228	0.44808766	0.6240453	0.014446283	0.014446283	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
0.8096703	0.42176026	0.01456795	0.40784526	0.12569001	0.44808266	0.62403876	0.014437578	0.014437579	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.796875	0	0	0	0	0	0	0
