"name","value"
"Qid","guest5"
"Question","Folgst du Vorhersagen, weil die Recommendation Systeme immer besser werden?"
"Quotayes","41.700001"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","1"
"track_6","1"
"track_7","0"
"track_8","0"
"track_9","0"
"track_10","0"
"track_11","0"
"track_12","1"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","0"
"track_17","1"
"track_18","0"
"track_19","0"
"track_20","1"
"track_21","1"
"track_22","0"
"track_23","0"
"track_24","0"
"track_25","0"
"track_26","1"
"track_27","1"
