Identifier	Question	yes	no
guest-1	Nutzt du eine App, die Informationen zu deinem Körper sammelt?	0	0
guest-2	Hast du schon mal ein Fake Profil erstellt?	0	0
guest-3	Hast du schon mal eine Datingapp benutzt?	0	0
guest-4	Macht Digitalisierung auf kurze oder lange Sicht unsere eigenen Sinneswahrnehmungen „überflüssig“?	0	0
guest-5	Sollte Digitalisierung Unterrichtsfach in der Schule werden?	0	0
guest-6	Führt Digitalisierung zu sozialer Vereinsamung?	0	0
guest-7	Kannst du dir vorstellen., dass Algorithmen unser Leben auch positiv beeinflussen können? 	0	0
guest-8	Hast du heute schon Google Maps benutzt?	0	0
guest-9	Werden unsere Gehirne in Zukunft Digital erweitert? 	0	0
guest-10	Lässt sich ein Weg finden, wie alle von der Digitalisierung profitieren können?	0	0
record-1	Bist du schon einmal schwarz mit der Bahn gefahren?	6	0
record-2	Fährst du manchmal allein in einem Auto zur Arbeit?	3	0
record-3	Bist du schon einmal Auto gefahren obwohl du Alkohol getrunken hast?	7	0
record-4	Bist du schon einmal auf eine Demonstration gegangen?	7	0
record-5	Hast du schon einmal Kritik an der Regierung geäußert?	12	0
record-6	Hast du deine Eltern schon einmal länger als einen Monat nicht besucht?	3	0
record-7	Kennst du Menschen, die kritisch über Politik und Gesellschaft denken?	6	0
record-8	Hast du schon einmal in der Öffentlichkeit geraucht?	5	0
record-9	Hast du schon einmal im Parkverbot gestanden?	5	0
record-10	Hast du schon einmal durch dein Verhalten ein Problem mit einem Nachbarn gehabt?	6	0
