"name","value"
"Qid","guest7"
"Question","Gibt es unsichtbare Herrschaftsstrukturen im Internet?"
"Quotayes","87.5"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","1"
"track_7","1"
"track_8","1"
"track_9","1"
"track_10","1"
"track_11","1"
"track_12","1"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","1"
"track_18","1"
"track_19","0"
"track_20","1"
"track_21","1"
"track_22","1"
"track_23","1"
"track_24","0"
"track_25","1"
"track_26","1"
"track_27","1"
